,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
179,dark,1,1,twelve,4,4:10 PM,58200.00,88.17,2,E,mating,P,Running around,"Got mounted by .2 too, left 2 while on 3.",P
180,dark,1,1,twelve,4,4:11 PM,58260.00,88.18,2,C,mount,P,,Mounted 3. while .4 was mating with her,P
181,dark,1,1,twelve,4,4:12 PM,58320.00,88.20,8,A,mount,E,NA,,E
182,dark,1,1,twelve,4,4:12 PM,58320.00,88.20,8,A,mount,E,unknown,Both mounted .4 once,E
183,dark,1,1,twelve,4,4:12 PM,58320.00,88.20,8,H,mount,E,unknown,Both mounted .4 once,E
184,dark,1,1,twelve,5,9:13 AM,33180.00,105.22,10,G,mating,T,7. moved towards the cluster of other bugs,,T
185,dark,1,1,twelve,5,11:19 AM,40740.00,107.32,10,G,mount,L,N/A,,L
186,dark,1,1,twelve,5,11:19 AM,40740.00,107.32,10,I,mount,G,N/A,,G
187,dark,1,1,twelve,5,11:19 AM,40740.00,107.32,10,I,mount,L,N/A,,L
188,dark,1,1,twelve,5,11:20 AM,40800.00,107.33,10,B,mount,G,N/A,all the males piled on top of each other while female ran away,G
189,dark,1,1,twelve,5,11:20 AM,40800.00,107.33,10,B,mount,L,N/A,all the males piled on top of each other while female ran away,L
190,dark,1,1,twelve,5,11:23 AM,40980.00,107.38,11,J,mount,V,ran away,,V
191,dark,1,1,twelve,5,11:23 AM,40980.00,107.38,11,J,mount,V,pressed against wall,,V
192,dark,1,1,twelve,5,11:33 AM,41580.00,107.55,8,Q,mount,N,ran away,1. was gonna enter 8 but then didn't,N
193,dark,1,1,twelve,5,11:35 AM,41700.00,107.58,7,L,mating,P,tried to run and pin against wall,exited 7 while :1 was on her,P
194,dark,1,1,twelve,5,11:39 AM,41940.00,107.65,10,B,mount,M,pinned against wall,,M
195,dark,1,1,twelve,5,11:41 AM,42060.00,107.68,10,I,mount,V,ran away,,V
196,dark,1,1,twelve,5,11:42 AM,42120.00,107.70,10,B,mount,G,N/A,.1 stopped shortly,G
197,dark,1,1,twelve,5,11:43 AM,42180.00,107.72,10,G,mount,B,N/A,.6 stopped shortly,B
198,dark,1,1,twelve,5,12:03 PM,43380.00,108.05,8,E,mount,M,ran away,0. was going to enter 8 but ran away,M
199,dark,1,1,twelve,5,12:06 PM,43560.00,108.10,10,D,mount,X,ran away,,X
200,dark,1,1,twelve,5,12:09 PM,43740.00,108.15,10,D,mount,B,N/A,,B
201,dark,1,1,twelve,5,12:10 PM,43800.00,108.17,8,A,mating,N,"walked around, ran out of shelter",,N
202,dark,1,1,twelve,5,12:12 PM,43920.00,108.20,8,C,mount,A,N/A,Mounted while .0 mating with 1.,A
203,dark,1,1,twelve,5,12:12 PM,43920.00,108.20,8,H,mount,A,N/A,Mounted while .0 mating with 1.,A
204,dark,1,1,twelve,5,12:13 PM,43980.00,108.22,outside 8,E,mating,M,walking around,,M
205,dark,1,1,twelve,5,12:14 PM,44040.00,108.23,outside 8,H,mount,M,walking around,Mounted to 0. while .4 was mating with her,M
206,dark,1,1,twelve,5,12:14 PM,44040.00,108.23,outside 8,H,mating,M,Entered shelter1,Displaced .4,M
207,dark,1,1,twelve,5,12:20 PM,44400.00,108.33,10,B,mount,G,N/A,stopped shortly,G
208,dark,1,1,twelve,5,12:32 PM,45120.00,108.53,open,J,mount,V,N/A,stopped shortly,V
209,dark,1,1,twelve,5,12:33 PM,45180.00,108.55,10,I,mount,W,pinned against wall,right side of body pressed firmly to wall,W
210,dark,1,1,twelve,5,12:40 PM,45600.00,108.67,10,B,mating,W,walking around,,W
211,dark,1,1,twelve,5,12:43 PM,45780.00,108.72,2,F,mount,M,Ran away and out of shelter,,M
212,dark,1,1,twelve,5,12:44 PM,45840.00,108.73,10,G,mount,K,curled and pinned against the wall,,K
213,dark,1,1,twelve,5,1:01 PM,46860.00,109.02,8,E,mount,C,,,C
214,dark,1,1,twelve,5,1:01 PM,46860.00,109.02,8,C,mount,E,,,E
215,dark,1,1,twelve,5,1:07 PM,47220.00,109.12,10,G,mating,W,Walking around,,W
216,dark,1,1,twelve,5,1:07 PM,47220.00,109.12,10,B,mount,W,N/A,Tried mounting 0: while .6 was mating with her,W
217,dark,1,1,twelve,5,1:09 PM,47340.00,109.15,Open,F,mount,J,N/A,Ended shortly,J
218,dark,1,1,twelve,5,1:12 PM,47520.00,109.20,Open,I,mount,F,N/A,,F
219,dark,1,1,twelve,5,1:18 PM,47880.00,109.30,8,C,mating,N,N/A,,N
220,dark,1,1,twelve,5,1:22 PM,48120.00,109.37,Outside 11,B,mount,B,N/A,quickly got off,B
221,dark,1,1,twelve,5,1:34 PM,48840.00,109.57,2,F,mount,W,Run around,,W
222,dark,1,1,twelve,5,1:36 PM,48960.00,109.60,2,F,mount,W,N/A,,W
